title,release_year,genres,score,budget,revenue
Vamps,2012,"Comedy, Romance, Horror",53.0,16000000.0,94812.0
Vampires Suck,2010,"Horror, Comedy",42.0,20000000.0,81424988.0
Vampires,1998,"Action, Fantasy, Horror",63.0,20000000.0,20268825.0
Vampire in Brooklyn,1996,"Comedy, Horror, Romance",50.0,14000000.0,19637147.0
Vampire Academy,2014,"Comedy, Action, Fantasy",63.0,30000000.0,15391979.0
Valkyrie,2009,"Drama, Thriller, History, War",69.0,90000000.0,203932174.0
Valiant,2006,"Family, Animation, Adventure, Comedy, War",55.0,35000000.0,64188387.0
Valerian and the City of a Thousand Planets,2017,"Adventure, Science Fiction, Action",66.0,180000000.0,215098356.0
Valentine's Day,2010,"Comedy, Romance",59.0,52000000.0,217569328.0
Valentine,2001,"Horror, Thriller",55.0,10000000.0,20384136.0
Vacation Friends,2021,Comedy,71.0,105200000.0,558301701.8
Vacation,2015,Comedy,63.0,31000000.0,102306500.0
Vacancy,2007,"Horror, Thriller",62.0,19000000.0,35300645.0
V/H/S/99,2022,"Horror, Thriller",63.0,81800000.0,408307377.8
V/H/S/94,2021,"Horror, Thriller",62.0,83600000.0,320393939.4
