title,release_year,genres,score,budget,revenue
American Adobo,2001,"['Comedy', 'Romance']",47.0,344,4
American Beauty,1999,['Drama'],79.0,15000000,356296601
American Dreamz,2006,"['Comedy', 'Drama', 'Family']",49.0,17000000,7314027
American Gangster,2007,"['Drama', 'Crime']",74.0,100000000,266465037
American Gigolo,1980,"['Thriller', 'Drama', 'Crime', 'Romance']",59.0,4800000,22743674
American Graffiti,1973,"['Comedy', 'Drama']",69.0,777000,140000000
American History X,1998,['Drama'],82.0,20000000,23875127
American Hustle,2013,"['Drama', 'Crime']",68.0,40000000,251171807
American Ninja,1985,"['Action', 'Adventure']",55.0,1000000,10499694
American Outlaws,2001,"['Action', 'Western']",57.0,35000000,13678913
American Pie,1999,"['Comedy', 'Romance']",64.0,11000000,235483004
American Pie 2,2001,"['Comedy', 'Romance']",60.0,30000000,287553595
American Psycho,2000,"['Thriller', 'Drama', 'Crime']",73.0,7000000,34266564
American Reunion,2012,['Comedy'],61.0,50000000,234989584
American Sniper,2014,"['War', 'Action']",74.0,58800000,542307423
American Ultra,2015,"['Comedy', 'Action']",60.0,28000000,27139524
American Wedding,2003,"['Comedy', 'Romance']",60.0,55000000,231449203
Amistad,1997,"['Drama', 'History', 'Mystery']",68.0,36000000,74000000
Amores perros,2000,"['Drama', 'Thriller']",76.0,2000000,20908467
Amour,2012,"['Drama', 'Romance']",75.0,8900000,29844753
Amélie,2001,"['Comedy', 'Romance']",78.0,10000000,173921954
"An Alan Smithee Film: Burn, Hollywood, Burn",1998,['Comedy'],35.0,10000000,1000000
An American Carol,2008,"['Comedy', 'Fantasy']",41.0,20000000,7000000
An American Tail,1986,"['Drama', 'Family', 'Animation', 'Adventure']",66.0,9000000,84542002
An American Werewolf in London,1981,"['Horror', 'Comedy']",72.0,10000000,31973249
An American Werewolf in Paris,1997,"['Horror', 'Comedy']",53.0,22000000,26570463
An American in Paris,1951,"['Drama', 'Comedy', 'Music', 'Romance']",69.0,2723903,4500000
An Awfully Big Adventure,1995,"['Romance', 'Drama', 'Comedy']",58.0,4000000,1000000
An Education,2009,"['Drama', 'Romance']",69.0,7500000,26096852
An Ideal Husband,1999,"['Drama', 'Comedy', 'Romance']",63.0,14000000,18535191
An Inconvenient Truth,2006,['Documentary'],67.0,1000000,46243000
An Unfinished Life,2005,['Drama'],67.0,30000000,18618284
An Unmarried Woman,1978,"['Drama', 'Romance', 'Comedy']",61.0,2515000,24000000
Anaconda,1997,"['Adventure', 'Horror', 'Thriller']",48.0,45000000,136885767
Anacondas: The Hunt for the Blood Orchid,2004,"['Adventure', 'Action', 'Horror', 'Science Fiction', 'Thriller']",49.0,20000000,70992898
Analyze That,2002,"['Comedy', 'Crime']",57.0,60000000,55003135
Analyze This,1999,"['Comedy', 'Crime']",64.0,80000000,176885658
Anastasia,1997,"['Animation', 'Family']",74.0,53000000,139804348
Anchorman 2: The Legend Continues,2013,['Comedy'],60.0,50000000,173649015
Anchorman: The Legend of Ron Burgundy,2004,['Comedy'],67.0,26000000,90574188
And So It Goes,2014,"['Comedy', 'Drama', 'Romance']",57.0,18000000,25312387
Angel Eyes,2001,"['Drama', 'Romance', 'Thriller']",55.0,53000000,29700000
Angel Heart,1987,"['Horror', 'Mystery', 'Thriller']",70.0,17000000,17185632
Angela's Ashes,1999,['Drama'],73.0,25,1000000
Angels & Demons,2009,"['Thriller', 'Mystery']",65.0,150000000,356613439
Anger Management,2003,['Comedy'],59.0,75000000,195745823
Animal House,1978,['Comedy'],70.0,2700000,141000000
Animal Kingdom,2010,"['Drama', 'Thriller', 'Crime']",67.0,5000000,1000000
Anjaana Anjaani,2010,"['Comedy', 'Drama', 'Music', 'Romance']",61.0,6400000,5900000
Anna Karenina,1935,"['Drama', 'Romance']",66.0,1152000,1439000
Anna Karenina,1997,"['Drama', 'Romance']",64.0,35000000,791830
Annabelle,2014,['Horror'],55.0,6500000,255273813
Annapolis,2006,['Drama'],60.0,26000000,17496992
Annie,1982,"['Comedy', 'Drama', 'Family', 'Music']",62.0,50000000,57059003
Annie,2014,"['Comedy', 'Drama', 'Family']",60.0,65000000,133821816
Annie Get Your Gun,1950,"['Action', 'Comedy', 'Music', 'Romance', 'Western']",73.0,3768785,8000000
Annie Hall,1977,"['Comedy', 'Drama', 'Romance']",78.0,4000000,38251425
Anomalisa,2015,"['Animation', 'Comedy', 'Drama', 'Romance']",69.0,8000000,5659286
Anonymous,2011,"['Drama', 'History', 'Thriller']",63.0,30000000,15395087
Another 48 Hrs.,1990,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']",58.0,38000000,153518974
Another Earth,2011,"['Drama', 'Science Fiction']",68.0,100000,1776935
Another Gay Movie,2006,"['Comedy', 'Romance']",50.0,500000,1000000
Another Happy Day,2011,"['Comedy', 'Drama']",60.0,4000000,1000000
Another Year,2010,"['Comedy', 'Drama']",70.0,8000000,18124262
Ant-Man,2015,"['Science Fiction', 'Action', 'Adventure']",70.0,130000000,519311965
Anthropoid,2016,"['History', 'Thriller', 'War']",69.0,9000000,4600000
Antichrist,2009,"['Drama', 'Horror', 'Thriller']",64.0,11000000,791867
Antitrust,2001,"['Action', 'Crime', 'Drama']",58.0,30000000,18195610
