title,release_year,genres,score,budget,revenue,duplicated_status
Bad Boys,1995,"Action, Comedy, Crime, Thriller",68.0,23000000.0,141247413.0,True
Bad Boys,1983,"Crime, Drama, Thriller",70.0,23000000.0,141247413.0,True
Awake,2021,"Drama, Science Fiction, Thriller",60.0,8600000.0,32968648.0,True
Awake,2007,"Thriller, Crime, Mystery",65.0,8600000.0,32968648.0,True
Assassins,2020,Documentary,69.0,50000000.0,83306268.0,True
Assassins,1995,"Action, Adventure, Crime, Thriller",65.0,50000000.0,83306268.0,True
Arthur,2011,"Comedy, Romance",56.0,40000000.0,47787943.0,True
Arthur,1981,"Comedy, Drama, Romance",65.0,40000000.0,47787943.0,True
Annie,2014,"Comedy, Drama, Family",62.0,65000000.0,139829625.0,True
Annie,1982,"Comedy, Drama, Family",65.0,65000000.0,139829625.0,True
Alice in Wonderland,2010,"Family, Fantasy, Adventure",66.0,200000000.0,1025491110.0,True
Alice in Wonderland,1951,"Animation, Family, Fantasy, Adventure",72.0,200000000.0,1025491110.0,True
Alice in Wonderland,1999,"Fantasy, Family",63.0,200000000.0,1025491110.0,True
Aladdin,2019,"Adventure, Fantasy, Romance, Family",71.0,182000000.0,1046587513.0,True
Aladdin,1993,"Animation, Family, Adventure, Fantasy, Romance",76.0,182000000.0,1046587513.0,True
After,2019,"Romance, Drama",72.0,14000000.0,57926850.0,True
After,2014,"Mystery, Thriller",56.0,14000000.0,57926850.0,True
A Nightmare on Elm Street,1985,Horror,73.0,35000000.0,117729618.0,True
A Nightmare on Elm Street,2010,"Horror, Mystery, Thriller",55.0,35000000.0,117729618.0,True
12 Angry Men,1957,Drama,85.0,340000.0,379.0,True
12 Angry Men,1997,"Crime, Drama, TV Movie",77.0,340000.0,379.0,True
