title,release_year,genres,score,budget,revenue
The Misfits,1961,"['Drama', 'Action', 'Romance']",68,4000000,8200000
The Pit and the Pendulum,1961,"['Fantasy', 'Horror', 'Drama']",69,200000,2000000
Voyage to the Bottom of the Sea,1961,"['Adventure', 'Drama', 'Science Fiction']",54,1580000,7000000
West Side Story,1961,"['Crime', 'Drama', 'Music']",70,6000000,43656822
Birdman of Alcatraz,1962,['Drama'],70,2650000,3100000
Dr. No,1962,"['Adventure', 'Action', 'Thriller']",69,950000,59600000
Eegah,1962,['Horror'],28,15000,3274
How the West Was Won,1962,"['History', 'Western', 'Adventure']",66,15000000,50000000
Lawrence of Arabia,1962,"['Adventure', 'Drama', 'History', 'War']",78,15000000,69995385
Lolita,1962,"['Drama', 'Romance']",73,2000000,9250000
Mutiny on the Bounty,1962,"['Adventure', 'Drama', 'History']",65,19000000,13680000
The Longest Day,1962,"['Action', 'Drama', 'History', 'War']",73,10000000,50100000
The Man Who Shot Liberty Valance,1962,['Western'],74,3200000,8000000
The Manchurian Candidate,1962,"['Mystery', 'Thriller']",77,80000000,96105910
The Miracle Worker,1962,['Drama'],75,500000,2500000
To Kill a Mockingbird,1962,"['Crime', 'Drama']",79,2000000,13129846
Vivre Sa Vie,1962,['Drama'],76,64000,24517
55 Days at Peking,1963,"['Action', 'Drama', 'History']",65,17000000,10000000
Blood Feast,1963,['Horror'],53,24500,4000000
Charade,1963,"['Comedy', 'Mystery', 'Romance', 'Thriller']",77,4000000,13474588
Cleopatra,1963,"['Drama', 'History', 'Romance']",67,31115000,71000000
Contempt,1963,['Drama'],75,900000,528428
Donovan's Reef,1963,"['Adventure', 'Comedy', 'Romance']",60,2686000,6600000
From Russia with Love,1963,"['Action', 'Thriller', 'Adventure']",69,2000000,78898765
Hud,1963,"['Action', 'Drama', 'Western']",74,2500000,10000000
"It's a Mad, Mad, Mad, Mad World",1963,"['Action', 'Adventure', 'Comedy', 'Crime']",70,9400000,60000000
The Birds,1963,['Horror'],73,2500000,11403529
The Great Escape,1963,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",78,4000000,11744471
The Raven,1963,"['Comedy', 'Fantasy', 'Horror']",63,350000,1499275
The Sword in the Stone,1963,"['Animation', 'Family']",69,3000000,22182353
Tom Jones,1963,"['Adventure', 'Comedy', 'History', 'Romance']",61,1000000,37600000
A Fistful of Dollars,1964,['Western'],76,200000,14500000
A Hard Day's Night,1964,"['Comedy', 'Music']",73,560000,12299668
Band of Outsiders,1964,"['Crime', 'Drama', 'Romance']",75,120000,182857
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"['Drama', 'Comedy', 'War']",80,1800000,9440272
Goldfinger,1964,"['Adventure', 'Action', 'Thriller']",72,2500000,124881062
Marnie,1964,"['Crime', 'Drama', 'Mystery', 'Thriller']",72,2135161,7000000
Mary Poppins,1964,"['Comedy', 'Family', 'Fantasy']",74,6000000,102272727
My Fair Lady,1964,"['Drama', 'Family', 'Music', 'Romance']",74,17000000,72070731
The Fall of the Roman Empire,1964,"['War', 'Drama', 'History']",60,19000000,4750000
The Night of the Iguana,1964,"['Drama', 'Romance']",69,3000000,12000000
The Train,1964,"['Action', 'Drama', 'Thriller', 'War']",72,5800000,6800000
Zulu,1964,"['Action', 'Drama', 'History', 'War']",74,3500000,8000000
A Patch of Blue,1965,"['Drama', 'Romance']",76,800000,6792000
Doctor Zhivago,1965,"['Drama', 'Romance', 'War']",74,11000000,111858363
For a Few Dollars More,1965,['Western'],78,600000,15000000
Major Dundee,1965,"['War', 'Western']",62,3800000,14873
The Great Race,1965,"['Adventure', 'Comedy']",72,12000000,25333333
The Greatest Story Ever Told,1965,"['Drama', 'History']",65,20000000,15473333
The Sound of Music,1965,"['Drama', 'Family', 'Music', 'Romance']",74,8200000,286214286
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965,"['Action', 'Adventure', 'Comedy']",64,5600000,29950000
Thunderball,1965,"['Adventure', 'Action', 'Thriller']",65,5500000,141195658
A Man for All Seasons,1966,"['Drama', 'History']",75,3900000,28350000
Dracula: Prince of Darkness,1966,['Horror'],61,280379,364937
El Dorado,1966,['Western'],72,4653000,6000000
Fantastic Voyage,1966,"['Adventure', 'Science Fiction']",67,5115000,12000000
Harper,1966,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']",63,3500000,12000000
Hawaii,1966,"['Drama', 'Adventure', 'Romance']",58,15000000,34562222
