item,title,genreLabel,boxofficeww,boxofficeusa,publicationdate,reviewscore,budget
http://www.wikidata.org/entity/Q39070473,A Quiet Place,horror film,340952971,188024361,2018-04-06T00:00:00Z,96%,17000000 USD
http://www.wikidata.org/entity/Q1757908,Texasville,drama film,,,,5.4/10,
http://www.wikidata.org/entity/Q180098,Ben-Hur,Christmas film,164000000,74432704,1959-11-18T00:00:00Z,85%,15000000 USD
http://www.wikidata.org/entity/Q678775,S.W.A.T.,hood film,207700000,,,48%,
http://www.wikidata.org/entity/Q458656,Dog Day Afternoon,drama film,,50000000,1975-12-25T00:00:00Z,96%,3800000 USD
http://www.wikidata.org/entity/Q101245207,The Wolf of Snow Hollow,werewolf film,266963,185026,2020-10-09T00:00:00Z,7.3/10,2000000 USD
http://www.wikidata.org/entity/Q875904,Bride of Frankenstein,science fiction film,2000000,,1935-04-20T00:00:00Z,98%,397000 USD
http://www.wikidata.org/entity/Q492908,설국열차,drama film,,,,94%,39200000 USD
http://www.wikidata.org/entity/Q1427252,Flash Gordon,science fiction film,,27107960,1980-12-05T00:00:00Z,6.8/10,27000000 USD
http://www.wikidata.org/entity/Q20856802,La La Land,comedy film,446092357,151101803,2016-12-09T00:00:00Z,91%,30000000 USD
http://www.wikidata.org/entity/Q23759268,The Mummy,horror film,409231607,,,4.2/10,125000000 USD
http://www.wikidata.org/entity/Q99368041,Cher Evan Hansen,musical film,,,2021-09-24T00:00:00Z,29%,27500000 USD
http://www.wikidata.org/entity/Q99368041,Cher Evan Hansen,musical film,,,2021-09-24T00:00:00Z,4.8/10,27500000 USD
http://www.wikidata.org/entity/Q196685,Escape Plan,prison film,,,,5.4/10,50000000 USD
http://www.wikidata.org/entity/Q23068002,Maze Runner: The Death Cure,action film,288175335,58032443,2018-01-26T00:00:00Z,43%,62000000 USD
http://www.wikidata.org/entity/Q1932371,The Adventures of Milo and Otis,adventure film,,,,80%,
http://www.wikidata.org/entity/Q18602670,Spectre,thriller film,880674609,,2015-11-06T00:00:00Z,63%,245000000 USD
http://www.wikidata.org/entity/Q7752396,The Motel,comedy drama,,51540,2006-06-28T00:00:00Z,7/10,250000 USD
http://www.wikidata.org/entity/Q14522920,The F Word,comedy film,,,,74%,
http://www.wikidata.org/entity/Q65768604,Thor: Love and Thunder,science fiction film,760928081,343256830,2022-02-18T00:00:00Z,63%,250000000 USD
http://www.wikidata.org/entity/Q584766,Something's Gotta Give,romantic comedy,266700000,,,6.6/10,
http://www.wikidata.org/entity/Q18002795,The Revenant,drama fiction,532950503,183637894,2015-12-25T00:00:00Z,78%,135000000 USD
http://www.wikidata.org/entity/Q571197,Tango & Cash,comedy film,,,,4.4/10,55000000 USD
http://www.wikidata.org/entity/Q107325,Bram Stoker's Dracula,historical drama,215862692,,,6.7/10,
http://www.wikidata.org/entity/Q160071,Twilight,film based on a novel,393600000,,,5.4/10,
http://www.wikidata.org/entity/Q196685,Escape Plan,action film,,,,5.4/10,50000000 USD
http://www.wikidata.org/entity/Q1129381,The X-Files,science fiction film,189176423,83898313,1998-06-19T00:00:00Z,67%,66000000 USD
http://www.wikidata.org/entity/Q756882,The Guns of Navarone,war film,,28900000,1961-06-22T00:00:00Z,92%,6000000 USD
http://www.wikidata.org/entity/Q832190,Jay and Silent Bob Strike Back,parody,33788161,30085147,2001-08-24T00:00:00Z,5.6/10,22000000 USD
http://www.wikidata.org/entity/Q20649227,Free Fire,action film,3719383,1799312,2017-04-21T00:00:00Z,70%,7000000 USD
http://www.wikidata.org/entity/Q288098,Murder by Death,crime film,32549247,32511047,1976-06-23T00:00:00Z,6/10,
http://www.wikidata.org/entity/Q370326,Eraser,action film,,,,5.1/10,100000000 USD
http://www.wikidata.org/entity/Q60296,The Weather Man,drama film,,,,6.2/10,22000000 USD
http://www.wikidata.org/entity/Q103569,Alien,science fiction film,106285522,81900459,1979-05-25T00:00:00Z,9.1/10,11000000 USD
http://www.wikidata.org/entity/Q10350033,Pirates of the Caribbean: Dead Men Tell No Tales,comedy film,794881442,172558876,2017-05-26T00:00:00Z,30%,230000000 USD
http://www.wikidata.org/entity/Q1146570,Howard the Duck,comedy film,,,1986-08-01T00:00:00Z,14%,37000000 USD
