title,release_year,genres,score,budget,revenue
Gone Girl,2014.0,"mystery film, drama film, crime thriller, crime film, detective film, film based on a novel, thriller film",88.0,61000000.0,369330363.0
Goodfellas,1990.0,"drama film, crime film, biographical film, film based on books",96.0,25000000.0,47036784.0
Gosford Park,2002.0,"comedy film, mystery film, drama film, crime film",87.0,19800000.0,87754044.0
Gran Torino,2009.0,"drama film, crime film",71.0,33000000.0,269958228.0
Gravity,2013.0,"survival film, science fiction film, disaster film, thriller film, techno-thriller",90.0,100000000.0,723192705.0
Green Book,2018.0,"comedy drama, LGBT-related film, comedy film, biographical film, road movie, drama film",72.0,23000000.0,321752656.0
Green Room,2016.0,"thriller film, horror film, drama film",90.0,5000000.0,3807503.0
Groundhog Day,1993.0,"comedy film, romantic comedy, magic realist film, melodrama, comedy drama, fantasy film, science fiction film, romance film",79.0,14600000.0,105000000.0
Guardians of the Galaxy,2014.0,"science fiction film, superhero film",92.0,170000000.0,772776600.0
Guardians of the Galaxy Vol. 2,2017.0,"science fiction film, comedy film, adventure film",73.0,200000000.0,863756051.0
Gunga Din,1939.0,"adventure film, ghost film, war film",92.0,1915000.0,2807000.0
Hacksaw Ridge,2016.0,"drama film, anti-war film, biographical film, romance film",72.0,40000000.0,180563636.0
Halloween,1978.0,"slasher film, teen film, horror film, drama film",86.0,325000.0,70274000.0
Halloween Kills,2021.0,"slasher film, horror film",59.0,20000000.0,131647155.0
Hardcore Henry,2016.0,"cyberpunk, science fiction film, action film",56.0,2000000.0,16810562.0
Harry Brown,2010.0,"drama film, neo-noir, crime film",60.0,7300000.0,10371451.0
Harry Potter and the Chamber of Secrets,2002.0,"adventure film, fantasy film, film based on a novel, children's film",72.0,100000000.0,879793867.0
Harry Potter and the Deathly Hallows – Part 1,2010.0,"adventure film, action film, fantasy, fantasy film, film based on a novel",71.0,250000000.0,976536918.0
Harry Potter and the Deathly Hallows – Part 2,2011.0,"fantasy film, film based on a novel, adventure film",83.0,250000000.0,1341511219.0
Harry Potter and the Goblet of Fire,2005.0,"adventure film, fantasy film, film based on a novel, children's film",88.0,150000000.0,895921036.0
Harry Potter and the Half-Blood Prince,2009.0,"fantasy film, film based on a novel",71.0,250000000.0,933959197.0
Harry Potter and the Order of the Phoenix,2007.0,"fantasy film, film based on a novel, children's film",69.0,150000000.0,941676843.0
Harry Potter and the Philosopher's Stone,2001.0,"fantasy film, film based on a novel, children's film, speculative/fantastic fiction film, adventure film",81.0,125000000.0,978087613.0
Harry Potter and the Sorcerer's Stone,2001.0,"speculative/fantastic fiction film, adventure film, fantasy film, film based on a novel, children's film",81.0,125000000.0,978087613.0
Heat,1995.0,"drama film, crime film, action film, heist film",87.0,60000000.0,187436818.0
