title,release_year,genres,score,budget,revenue
Would I Lie to You? 2,2001.0,Comedy,64.0,12560000.0,42700000.0
World's Greatest Dad,2009.0,"Comedy, Romance",69.0,10000000.0,1000000.0
World War Z,2013.0,"Action, Drama, Horror, Science Fiction, Thriller",67.0,200000000.0,531865000.0
World Trade Center,2006.0,"Drama, History, Thriller",59.0,65000000.0,162945894.0
Working Girl,1988.0,"Comedy, Drama, Romance",65.0,28000000.0,103173635.0
Work It,2020.0,"Comedy, Music",76.0,127300000.0,737876730.6
Words on Bathroom Walls,2020.0,"Drama, Romance",79.0,9300000.0,3117681.0
Woody Woodpecker,2017.0,"Comedy, Family, Animation",67.0,10000000.0,232887659.4
Woodstock,1970.0,"History, Documentary, Music",71.0,600000.0,34505110.0
Woodlawn,2015.0,Drama,68.0,13000000.0,14394097.0
Woo,1998.0,"Comedy, Romance",55.0,13000000.0,8026971.0
Wonderland,2003.0,"Crime, Drama, Mystery, Thriller",62.0,5500000.0,2466444.0
Wonder Woman: Bloodlines,2019.0,"Science Fiction, Animation, Action, Fantasy",70.0,97580000.0,653742013.4
Wonder Woman 1984,2020.0,"Action, Adventure, Fantasy",65.0,200000000.0,166360232.0
Wonder Woman,2017.0,"Action, Adventure, Fantasy",72.0,150000000.0,820580447.0
Wonder Woman,2009.0,"Action, Adventure, Animation, Fantasy, Science Fiction",72.0,150000000.0,817691766.0
Wonder Wheel,2017.0,"Drama, Romance",64.0,25000000.0,15366466.0
Wonder Park,2019.0,"Comedy, Animation, Adventure, Family, Fantasy",65.0,100000000.0,115103325.0
Wonder,2017.0,"Drama, Family",82.0,20000000.0,310824596.0
Women's Prison Massacre,1985.0,"Action, Crime",44.0,114500000.0,198266608.4
Women on the Verge of a Nervous Breakdown,1988.0,"Comedy, Drama",76.0,700000.0,7179298.0
Women in Trouble,2009.0,"Comedy, Drama",56.0,3000000.0,1000000.0
Women Talking,2023.0,Drama,70.0,30408000.0,7589419.0
Women,2021.0,Thriller,49.0,70200000.0,716958659.0
Woman in Gold,2015.0,Drama,73.0,11000000.0,61619773.0
Woman Thou Art Loosed,2004.0,Drama,66.0,3000000.0,6804016.0
Wolves,2014.0,"Horror, Action",59.0,18000000.0,94953.0
Wolfwalkers,2020.0,"Animation, Family, Adventure, Fantasy",83.0,11250000.0,3241142.0
Wolfen,1981.0,"Drama, Horror",60.0,17000000.0,10626725.0
Wolf Warrior,2015.0,"Adventure, Action, War",58.0,12000000.0,80000000.0
Wolf Totem,2015.0,"Adventure, Drama",64.0,38000000.0,123205624.0
Wolf Hound,2022.0,"War, Action",66.0,142000000.0,491960363.2
Wolf Creek 2,2013.0,"Horror, Thriller",59.0,8000000.0,9630444.0
Wolf Creek,2005.0,"Horror, Thriller",61.0,1100000.0,27762648.0
Wizards of Waverly Place: The Movie,2009.0,"Family, TV Movie, Adventure, Comedy, Drama, Fantasy, Action",66.0,148000000.0,623873271.0
Wizards,1977.0,"Animation, Fantasy, Science Fiction",64.0,1200000.0,9000000.0
Witness for the Prosecution,1957.0,"Drama, Mystery, Crime",81.0,3000000.0,9000000.0
Witness,1985.0,"Crime, Drama, Romance, Thriller",70.0,12000000.0,68706993.0
Without a Paddle,2004.0,"Action, Adventure, Comedy, Thriller",53.0,30000000.0,69631118.0
Without Limits,1998.0,Drama,64.0,25000000.0,777423.0
Witch Hunt,2021.0,Horror,68.0,51340950.0,56415.0
Wishmaster 4: The Prophecy Fulfilled,2002.0,"Horror, Fantasy",46.0,500000.0,1361417.8
Wishmaster 3: Beyond the Gates of Hell,2001.0,"Thriller, Horror, Fantasy",45.0,1500000.0,2264858.8
Wishmaster 2: Evil Never Dies,1999.0,"Fantasy, Horror",54.0,2500000.0,10531010.8
Wishmaster,1997.0,Horror,56.0,5000000.0,15719109.0
Wish Upon a Unicorn,2020.0,"Adventure, Family, Fantasy",70.0,85200000.0,471856743.2
Wish Upon,2017.0,"Horror, Thriller, Fantasy",56.0,12000000.0,23477345.0
Wish I Was Here,2014.0,"Drama, Comedy",64.0,6000000.0,5483299.0
Wish Dragon,2021.0,"Animation, Family, Comedy, Fantasy",80.0,21363393.0,25860000.0
Wise Guys,1986.0,"Comedy, Crime",61.0,13000000.0,8475466.0
Wire Room,2022.0,"Action, Crime, Thriller",66.0,101000000.0,321357348.6
Winter's Tale,2014.0,"Drama, Fantasy, Mystery, Romance",60.0,60000000.0,30800231.0
Winter's Bone,2010.0,Drama,68.0,2000000.0,13831503.0
Winter in Wartime,2008.0,"Drama, History, War",68.0,5800000.0,530048.0
Winter Passing,2006.0,"Comedy, Drama",67.0,3500000.0,113783.0
Winnie the Pooh: Springtime with Roo,2004.0,"Adventure, Animation, Comedy, Drama, Family",67.0,108000000.0,254948951.2
Winnie the Pooh: Blood and Honey,2023.0,"Horror, Thriller",58.0,100000.0,3200000.0
Winnie the Pooh: A Very Merry Pooh Year,2002.0,"Animation, Family",68.0,98140000.0,494358731.6
Winnie the Pooh: A Valentine for You,1999.0,"Animation, Family",65.0,147000000.0,790320116.8
Winnie the Pooh,2011.0,"Animation, Family",68.0,30000000.0,14460000.0
Wings of Desire,1987.0,"Drama, Fantasy, Romance",75.0,2500000.0,3200000.0
Winged Migration,2001.0,Documentary,71.0,35866397.0,20217080.0
Windtalkers,2002.0,"Drama, Action, History, War",58.0,115000000.0,77628265.0
Windfall,2022.0,"Thriller, Crime, Drama",54.0,148000000.0,497940019.8
Wind River,2017.0,"Action, Crime, Mystery, Thriller",74.0,11000000.0,184770205.0
Wind,1992.0,"Action, Drama",61.0,29000000.0,5519569.0
Winchester,2018.0,"Horror, Thriller",59.0,3500000.0,45960255.0
Win a Date with Tad Hamilton!,2004.0,"Comedy, Romance",55.0,24000000.0,16980098.0
Win Win,2011.0,"Drama, Comedy",67.0,10831173.0,10654385.0
Wimbledon,2004.0,"Comedy, Romance",60.0,35000000.0,41512007.0
Wilson,1944.0,"Romance, Drama, History, Music",64.0,5200000.0,1000000.0
Willy's Wonderland,2021.0,"Action, Horror, Comedy",61.0,5000000.0,431020.0
Willy Wonka & the Chocolate Factory,1971.0,"Family, Fantasy",74.0,3000000.0,4000000.0
Willow,1988.0,"Adventure, Drama, Action",69.0,35000000.0,57269863.0
William & Kate,2011.0,"Drama, Romance",49.0,20.0,1000000.0
Wildflower,2016.0,"Thriller, Drama",52.0,81400000.0,393750045.8
Wild at Heart,1990.0,"Comedy, Crime, Thriller",70.0,9500000.0,14560247.0
Wild Wild West,2000.0,"Action, Adventure, Comedy, Science Fiction, Western",53.0,175000000.0,221229335.0
Wild Wild West,1999.0,"Action, Adventure, Comedy, Science Fiction, Western",51.0,175000000.0,222104681.0
Wild Things: Diamonds in the Rough,2005.0,"Crime, Drama, Mystery",49.0,165400000.0,616863030.4
Wild Things 2,2004.0,"Crime, Drama, Mystery",52.0,2800000.0,5882400.8
Wild Things,1998.0,Thriller,63.0,20000000.0,67200000.0
Wild Target,2010.0,"Action, Comedy",64.0,8000000.0,3453043.0
Wild Orchid,1990.0,"Romance, Drama",53.0,7000000.0,11060485.0
Wild Is the Wind,2022.0,"Crime, Drama",56.0,77200000.0,250609542.6
Wild Indian,2021.0,"Crime, Drama, Thriller",57.0,20000000.0,96815497.4
Wild Hogs,2007.0,"Action, Adventure, Comedy",59.0,60000000.0,253555383.0
Wild Child,2008.0,Comedy,64.0,20000000.0,21972336.0
Wild Card,2015.0,"Thriller, Crime, Action",56.0,30000000.0,4315789.0
